tool_name,total_runs,success_rate_pct,avg_duration_ms
Read,45077,98.51,34.99
Bash,42332,93.04,5363.11
Edit,18759,99.11,1896.41
Grep,11342,98.96,495.27
Glob,6929,99.03,778.46
mcp_tool,6293,97.0,2599.11
Write,4172,99.09,369.59
TodoWrite,3704,98.95,17.49
TaskUpdate,2875,98.92,0.61
Task,2605,98.96,500631.16
TaskCreate,1459,99.38,1.64
AskUserQuestion,946,98.94,0.0
ToolSearch,495,98.99,0.58
WebSearch,482,93.57,189052.38
WebFetch,462,95.02,4996.3
ExitPlanMode,251,98.41,0.6
NotebookEdit,235,99.15,10.53
