tool_name,success_rate,total_runs
TaskCreate,99.38313913639479,1459
NotebookEdit,99.14893617021276,235
Edit,99.10976064822219,18759
Write,99.08916586768936,4172
Glob,99.03304950209265,6929
ToolSearch,98.98989898989899,495
Task,98.96353166986565,2605
Grep,98.95961911479458,11342
TodoWrite,98.94708423326134,3704
AskUserQuestion,98.94291754756871,946
TaskUpdate,98.92173913043479,2875
Read,98.5114359873106,45077
ExitPlanMode,98.40637450199203,251
mcp_tool,96.99666295884316,6293
WebFetch,95.02164502164501,462
WebSearch,93.56846473029046,482
Bash,93.03836341302089,42332
